occasion,archetype,weighted_meals,unweighted_meals,participants,top_groups,top_categories,occasion_weight,weighted_share,stratum
snack,sweet snack,40792458.268856,802,640,"sweet_baked, water, sweet_baked, sweet_baked, water, coffee_tea, sweet_baked","Cookies and brownies, Candy containing chocolate, Candy not containing chocolate, Ice cream and frozen dairy desserts",117006911.107347,0.34863289597852304,pir_5plus
snack,salty snack,26261478.704891,507,450,"salty_snack, water, salty_snack, salty_snack, water, sweet_baked, salty_snack","Crackers, excludes saltines, Tortilla, corn, other chips, Popcorn, Potato chips",117006911.107347,0.22444382520958636,pir_5plus
snack,coffee or tea snack,4699511.147378,95,84,"coffee_tea, condiment_fat, coffee_tea, fruit, coffee_tea, coffee_tea, condiment_fat","Coffee, Tea, Nuts and seeds, Tea, Tea, Nuts and seeds",117006911.107347,0.0401643894612898,pir_5plus
snack,fruit and dairy snack,1329379.395364,27,26,"fruit, cheese, cheese, fruit, fruit, yogurt, fruit, beans_nuts, yogurt","Apples, Cheese, Bananas, Yogurt, regular, Dried fruits, Apples, Yogurt, regular, Nuts and seeds, Bananas, Tea, Cheese",117006911.107347,0.011361545935900932,pir_5plus
snack,sandwich snack,860382.810335,19,18,"sandwich, condiment_fat, sandwich, sandwich, vegetables, alcohol, sandwich, condiment_fat, vegetables","Peanut butter and jelly sandwiches, Vegetables on a sandwich, Olives, pickles, pickled vegetables, Frankfurter sandwiches, Liquor and cocktails, Beer, Peanut butter and jelly sandwiches, Bananas, Soft drinks, Smoothies and grain drinks, Burgers",117006911.107347,0.007353264881470541,pir_5plus
breakfast,other breakfast,16788579.411691,421,392,"sweet_drink, water, fruit, sweet_baked","Eggs and omelets, Tap water, Bottled water, Bananas",51220821.88163,0.3277686455420214,pir_lt_1_3
breakfast,cereal or oatmeal breakfast,11151810.040949,287,286,"milk_dairy_drink, cereal_oatmeal, cereal_oatmeal, milk_dairy_drink, cereal_oatmeal, water, milk_dairy_drink, cereal_oatmeal","Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, whole, Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, reduced fat, Milk, whole, Ready-to-eat cereal, higher sugar (>21.2g/100g), Milk, reduced fat, Ready-to-eat cereal, higher sugar (>21.2g/100g)",51220821.88163,0.21772024796323153,pir_lt_1_3
breakfast,coffee-first breakfast,6762323.133697,166,164,"coffee_tea, condiment_fat, condiment_fat, coffee_tea, coffee_tea, coffee_tea, water, condiment_fat","Coffee, Cream and cream substitutes, Coffee, Coffee, Cream and cream substitutes, Cream and cream substitutes, Coffee, Sugars and honey",51220821.88163,0.1320229329651241,pir_lt_1_3
breakfast,breakfast sandwich or burrito,5606862.238985,129,129,"sandwich, sandwich, sweet_drink, condiment_fat, coffee_tea, sandwich, sandwich, milk_dairy_drink","Egg/breakfast sandwiches, Deli and cured meat sandwiches, Egg/breakfast sandwiches, Coffee, Egg/breakfast sandwiches, Soft drinks",51220821.88163,0.10946451136497408,pir_lt_1_3
breakfast,eggs with bread or meat,4983171.062349,125,125,"condiment_fat, coffee_tea, bread, eggs, eggs, milk_dairy_drink, breakfast_meat, breakfast_meat, eggs, bread, water, bread, eggs","Tortillas, Bottled water, Eggs and omelets, Eggs and omelets, Yeast breads, Eggs and omelets, Milk, whole, Tap water, Tea, Yeast breads, Sugars and honey, Eggs and omelets, Margarine, Yeast breads, Bottled water",51220821.88163,0.09728799498502737,pir_lt_1_3
breakfast,coffee and pastry breakfast,4810950.865132,107,107,"condiment_fat, bread, coffee_tea, sweet_baked, coffee_tea, bread, condiment_fat, coffee_tea, bread, coffee_tea, condiment_fat","Doughnuts, sweet rolls, pastries, Coffee, Coffee, Doughnuts, sweet rolls, pastries, Cream and cream substitutes, Cream and cream substitutes, Biscuits, muffins, quick breads, Coffee, Sugar substitutes, Cream and cream substitutes, Coffee, Candy containing chocolate",51220821.88163,0.09392568663286942,pir_lt_1_3
breakfast,fruit and bread breakfast,724759.424091,24,24,"bread, water, fruit, milk_dairy_drink, condiment_fat, fruit, bread, milk_dairy_drink, fruit, bread, fruit, condiment_fat, milk_dairy_drink, bread","Flavored milk, reduced fat, Bananas, Pancakes, waffles, French toast, Jams, syrups, toppings, Strawberries, Biscuits, muffins, quick breads, Pears, Bananas, Tap water, Pancakes, waffles, French toast, Jams, syrups, toppings, Diet sport and energy drinks, Bananas, Grapes, Citrus juice, Pancakes, waffles, French toast",51220821.88163,0.014149703137640007,pir_lt_1_3
breakfast,yogurt and fruit breakfast,392365.704736,11,11,"fruit, yogurt, water, fruit, cheese, yogurt, yogurt, sweet_drink, fruit, coffee_tea, condiment_fat, water, fruit","Bottled water, Cheese, Bananas, Yogurt, regular, Blueberries and other berries, Nutritional beverages, Yogurt, Greek, Blueberries and other berries, Yogurt, regular, Cream and cream substitutes, Coffee, Tap water, Bananas, Tap water, Yogurt, Greek",51220821.88163,0.007660277409112001,pir_lt_1_3
dinner,other dinner,18095820.767916,480,442,"grain_starch, water, meat_poultry, sweet_baked","Pasta mixed dishes, excludes macaroni and cheese, Chicken, whole pieces, Tap water, Bottled water",58682171.740377,0.308369990939939,pir_lt_1_3
dinner,mixed entree dinner,7893944.287701,180,179,"mixed_main, mixed_main, water, water, mixed_main, mixed_main, grain_starch","Meat mixed dishes, Poultry mixed dishes, Cheese, Pasta mixed dishes, excludes macaroni and cheese, Pasta mixed dishes, excludes macaroni and cheese, Cheese",58682171.740377,0.13452031602759298,pir_lt_1_3
dinner,sandwich dinner,7881928.622684,197,194,"sandwich, condiment_fat, sandwich, sandwich, water, sandwich, sweet_drink","Burgers, Peanut butter and jelly sandwiches, Soft drinks, French fries and other fried white potatoes, Burgers, Mayonnaise, Deli and cured meat sandwiches, Tortilla, corn, other chips",58682171.740377,0.13431555767150896,pir_lt_1_3
dinner,protein and starch dinner,6733974.417626,156,156,"meat_poultry, grain_starch, grain_starch, meat_poultry, meat_poultry, sweet_drink, grain_starch, meat_poultry, coffee_tea, grain_starch","Rice, Pork, Chicken, whole pieces, Rice mixed dishes, Pork, Rice, Chicken, whole pieces, Mashed potatoes and white potato mixtures",58682171.740377,0.11475332657111946,pir_lt_1_3
dinner,tortilla dinner,5920884.883049,126,122,"tortilla, sweet_drink, tortilla, tortilla, sweet_drink, water, tortilla","Other Mexican mixed dishes, Burritos and tacos, Soft drinks, Burritos and tacos, Fruit drinks, Burritos and tacos",58682171.740377,0.1008975078366955,pir_lt_1_3
dinner,protein vegetable starch dinner,4494654.440875,108,108,"vegetables, water, grain_starch, meat_poultry, vegetables, grain_starch, meat_poultry, meat_poultry, vegetables, grain_starch, vegetables, water, meat_poultry, grain_starch","Spinach, Pears, Pasta, noodles, cooked grains, Fish, Tomatoes, Salad dressings and vegetable oils, Chicken, whole pieces, Lettuce and lettuce salads, Rice, Tap water, Cabbage, Chicken, whole pieces, Rice, Other vegetables and combinations, Rice, Soft drinks, Corn, Beef, excludes ground, Other vegetables and combinations",58682171.740377,0.0765931850777499,pir_lt_1_3
dinner,soup dinner,3847443.438381,90,90,"soup, sweet_drink, soup, soup, sweet_drink, water, soup","Soups, broth-based, Ramen and Asian broth-based soups, Soups, cream-based, Dried fruits, Salad dressings and vegetable oils, Vegetable dishes",58682171.740377,0.06556409424318764,pir_lt_1_3
dinner,pizza dinner,3813520.882145,83,83,"pizza, pizza, sweet_drink, water, pizza, sweet_drink, pizza","Pizza, Soft drinks, Pizza, Pizza, Bottled water, Pizza, Soft drinks",58682171.740377,0.06498602163220656,pir_lt_1_3
lunch,other lunch,12991720.734137,337,323,"water, sweet_drink, grain_starch, fruit","Bottled water, Soft drinks, Macaroni and cheese, Apple juice",42494864.03883,0.3057244923119584,pir_lt_1_3
lunch,sandwich lunch,11223718.869618,266,266,"sandwich, condiment_fat, sandwich, sweet_drink, sandwich, sandwich, water","Peanut butter and jelly sandwiches, Mayonnaise, Deli and cured meat sandwiches, Deli and cured meat sandwiches, Deli and cured meat sandwiches, Vegetables on a sandwich",42494864.03883,0.2641194206283904,pir_lt_1_3
lunch,plate lunch,4909076.501747,130,130,"vegetables, meat_poultry, grain_starch, meat_poultry, meat_poultry, grain_starch, water, grain_starch, meat_poultry","French fries and other fried white potatoes, Chicken patties, nuggets and tenders, Rice, Chicken, whole pieces, Lamb, goat, game, Rice mixed dishes, Vegetable dishes, Apple juice, Rice, Chicken, whole pieces, Citrus juice, Other vegetables and combinations, Coleslaw, non-lettuce salads",42494864.03883,0.11552164273925657,pir_lt_1_3
lunch,mixed entree lunch,3332775.4355119998,86,86,"mixed_main, mixed_main, water, mixed_main, grain_starch, sweet_drink, mixed_main","Meat mixed dishes, Poultry mixed dishes, Fried rice and lo/chow mein, Pasta, noodles, cooked grains, Pasta sauces, tomato-based",42494864.03883,0.07842772322948607,pir_lt_1_3
lunch,tortilla lunch,2941450.562327,56,56,"tortilla, water, tortilla, vegetables, condiment_fat, tortilla, water, tortilla, condiment_fat, sweet_drink, vegetables","Burritos and tacos, Other Mexican mixed dishes, Tomato-based condiments, Lettuce and lettuce salads, Burritos and tacos, Bottled water, Burritos and tacos, Flavored milk, reduced fat, Apples, Lettuce and lettuce salads, Tomatoes",42494864.03883,0.06921896631176952,pir_lt_1_3
lunch,pizza lunch,2671240.865745,70,70,"pizza, water, pizza, pizza, water, pizza, sweet_drink","Pizza, Pizza, Bottled water, Pizza, Tap water, Bottled water, Pizza",42494864.03883,0.06286032268050402,pir_lt_1_3
lunch,soup lunch,2440373.23139,61,61,"soup, soup, water, water, soup, sweet_drink, soup","Soups, broth-based, Ramen and Asian broth-based soups, Soups, broth-based, Apple juice, Soups, broth-based, Soft drinks",42494864.03883,0.05742748651131324,pir_lt_1_3
lunch,salad lunch,1984507.838354,50,50,"condiment_fat, vegetables, meat_poultry, vegetables, condiment_fat, water, condiment_fat, vegetables, meat_poultry, vegetables, grain_starch, condiment_fat, beans_nuts","Onions, Tomatoes, Spinach, Other vegetables and combinations, Chicken, whole pieces, Bottled water, Salad dressings and vegetable oils, Tomatoes, Other fruit juice, Lettuce and lettuce salads, Mango and papaya, Apples, Beef, excludes ground, Tomato-based condiments, Citrus fruits, Pork, Tomatoes, Beans, peas, legumes, Lettuce and lettuce salads, Salad dressings and vegetable oils",42494864.03883,0.04669994558732183,pir_lt_1_3
snack,other snack,32720825.630599,849,593,"fruit, water, sweet_drink, beans_nuts","Bottled water, Apples, Nuts and seeds, Citrus fruits",82312193.252262,0.3975210031194231,pir_lt_1_3
snack,sweet snack,28064728.356921,714,578,"sweet_baked, water, sweet_baked, sweet_baked, water, sweet_baked, sweet_drink","Cookies and brownies, Candy not containing chocolate, Ice cream and frozen dairy desserts, Candy containing chocolate",82312193.252262,0.34095469028399095,pir_lt_1_3
snack,salty snack,17188509.219024,459,408,"salty_snack, water, salty_snack, salty_snack, water, salty_snack, sweet_baked","Tortilla, corn, other chips, Potato chips, Crackers, excludes saltines, Popcorn",82312193.252262,0.20882093575548902,pir_lt_1_3
snack,coffee or tea snack,1958153.537152,60,49,"coffee_tea, condiment_fat, condiment_fat, coffee_tea, coffee_tea, cereal_oatmeal, condiment_fat, coffee_tea","Sugars and honey, Coffee, Tea, Tea, Sugars and honey, Coffee",82312193.252262,0.023789349545708875,pir_lt_1_3
snack,sandwich snack,1765969.199399,40,38,"sandwich, sandwich, condiment_fat, sweet_drink, sandwich, condiment_fat, sandwich","Peanut butter and jelly sandwiches, Cheese sandwiches, Butter and animal fats, Cheese sandwiches, Yeast breads, Mayonnaise, Sausages",82312193.252262,0.021454527326065023,pir_lt_1_3
snack,fruit and dairy snack,614007.309167,20,18,"yogurt, fruit, cheese, fruit, fruit, yogurt, water, cheese, fruit","Yogurt, regular, Apples, Yogurt, regular, Strawberries, Yogurt, Greek, Bottled water, Bananas, Bottled water, Strawberries, Yogurt, regular",82312193.252262,0.007459493969323028,pir_lt_1_3
