basename,rows_in_parquet,total_rows,total_issues,issue_rate,severity_band,top_failure_mode,top_failure_count,fails_qaqc_gate,blank_name,unknown_name,short_name,unit_only_name,size_code_name,garbage_exact,garbage_substring,page_dump,price_in_name,location_as_name,zero_negative_price,non_numeric_price,bad_timestamp,non_wayback_url,non_store_specific,duplicates,missing_columns,read_error
strack_van_til_prices.csv,56,233,467,2.0043,minor,non_store_specific,226,True,177,0,0,0,0,0,0,0,0,0,0,0,0,0,226,64,0,0
freshop_capitol_centre_market_prices.csv,49,49,1,0.0204,trace,duplicates,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shoprite_rsid_315_prices.csv,48,54,34,0.6296,trace,duplicates,28,True,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,28,0,0
roots-market-olney_prices.csv,43,43,21,0.4884,trace,duplicates,21,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
presidente_supermarket_prices.csv,42,55,68,1.2364,trace,non_store_specific,55,True,0,0,0,0,0,0,0,0,0,0,0,13,0,0,55,0,0,0
roots-market-clarksville_prices.csv,42,42,21,0.5,trace,duplicates,21,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
iavarone-bros-wantagh_prices.csv,35,35,7,0.2,trace,short_name,7,True,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
old_dutch_supermarket_prices.csv,32,32,1,0.0312,trace,short_name,1,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earth_fare_prices.csv,30,80,141,1.7625,minor,non_store_specific,68,True,50,0,0,0,0,0,0,0,0,0,0,0,0,0,68,23,0,0
country_mart_prices.csv,23,23,23,1.0,trace,non_store_specific,23,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
iavarone-bros-new-hyde-park_prices.csv,22,22,1,0.0455,trace,non_numeric_price,1,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rancho_san_miguel_prices.csv,16,53,86,1.6226,trace,non_store_specific,53,True,0,0,6,0,0,0,0,0,0,0,0,26,0,0,53,1,0,0
compare_foods_prices.csv,13,243,399,1.642,minor,blank_name,230,True,230,0,0,0,0,0,0,0,0,0,0,0,0,0,167,2,0,0
cardenas_prices.csv,10,22,42,1.9091,trace,non_store_specific,22,True,11,0,0,0,0,0,0,1,0,0,0,0,0,0,22,8,0,0
shoprite_rsid_354_prices.csv,10,10,5,0.5,trace,duplicates,5,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
grocery_outlet_prices.csv,9,908,17,0.0187,trace,price_in_name,17,True,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
shoprite_rsid_218_prices.csv,8,8,4,0.5,trace,duplicates,4,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
wild_fork_foods_prices.csv,7,26,60,2.3077,trace,non_store_specific,26,True,19,0,0,0,0,0,0,0,0,0,9,0,0,0,26,6,0,0
shoprite_rsid_107_prices.csv,6,6,3,0.5,trace,duplicates,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
shoprite_rsid_141_prices.csv,4,4,2,0.5,trace,duplicates,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
99_ranch_market_prices.csv,3,13,20,1.5385,trace,non_store_specific,13,True,0,0,2,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0
shoprite_rsid_109_prices.csv,2,2,1,0.5,trace,duplicates,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shoprite_rsid_220_prices.csv,2,2,1,0.5,trace,duplicates,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shoprite_rsid_553_prices.csv,2,2,1,0.5,trace,duplicates,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pic_n_sav_prices.csv,1,12,14,1.1667,trace,non_store_specific,12,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0
edwards_cash_saver_prices.csv,1,1,1,1.0,trace,non_store_specific,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
